City_ID,City,Latitude,Longitude,Max Temp (°C),Humidity %,Cloudiness %,Wind Speed (m/s),Country,Date
0,berezovyy,51.6667,135.7,-1.4599999999999795,35,0,2.29,RU,1731469466
1,olonkinbyen,70.9221,-8.7187,-3.8799999999999955,75,100,14.3,SJ,1731469467
2,margaret river,-33.95,115.0667,22.600000000000023,51,47,4.46,AU,1731469469
3,grand falls-windsor,48.9332,-55.6649,5.28000000000003,92,100,2.68,CA,1731469325
4,waitangi,-43.9535,-176.5597,13.230000000000018,73,0,3.13,NZ,1731469471
5,port alfred,-33.5906,26.891,16.210000000000036,82,72,2.24,ZA,1731469211
6,hassi messaoud,31.6804,6.0729,12.920000000000016,62,0,1.03,DZ,1731469473
7,ribeira grande,38.5167,-28.7,17.100000000000023,90,81,1.34,PT,1731469474
8,susuman,62.7833,148.1667,-24.149999999999977,98,98,1.17,RU,1731469476
9,tura,25.5198,90.2201,26.410000000000025,52,1,1.09,IN,1731469477
10,la foa,-21.7108,165.8276,28.49000000000001,53,82,0.9,NC,1731469478
11,berbera,10.4396,45.0143,26.180000000000007,67,1,2.15,SO,1731469479
12,kagizman,40.1567,43.1342,4.939999999999998,87,1,1.61,TR,1731469480
13,talnakh,69.4865,88.3972,-23.909999999999968,99,98,0.7,RU,1731469481
14,afaahiti,-17.75,-149.2833,23.870000000000005,76,56,7.93,PF,1731469482
15,kourou,5.1552,-52.6478,24.700000000000045,90,36,2.4,GF,1731469484
16,hingorja,27.2109,68.416,27.939999999999998,29,0,1.53,PK,1731469485
17,jatai,-17.8814,-51.7144,22.010000000000048,83,100,0.57,BR,1731469345
18,impfondo,1.6381,18.0667,21.49000000000001,92,95,1.09,CG,1731469487
19,flying fish cove,-10.4217,105.6791,27.82000000000005,89,100,4.63,CX,1731469488
20,aasiaat,68.7098,-52.8699,-5.789999999999964,72,100,8.28,GL,1731469489
21,puerto ayora,-0.7393,-90.3518,21.970000000000027,87,27,1.79,EC,1731469491
22,adamstown,-25.066,-130.1015,21.200000000000045,80,100,4.96,PN,1731469492
23,blackmans bay,-43.0167,147.3167,14.850000000000023,89,86,1.16,AU,1731469493
24,oranjemund,-28.55,16.4333,13.670000000000016,92,10,8.03,NA,1731469494
25,mossel bay,-34.1831,22.146,16.960000000000036,84,100,3.87,ZA,1731469495
26,port-aux-francais,-49.35,70.2167,3.7800000000000296,70,43,7.73,TF,1731469496
27,port mathurin,-19.6833,63.4167,24.450000000000045,81,57,7.5,MU,1731469497
28,jamestown,42.097,-79.2353,-0.19999999999998863,91,0,3.09,US,1731469499
